sqrt_s_GeV,sqrt_s_TeV,0340_xsec_pb,anomaly_zone,metabit_phi,predicted_byte
807.8078078078079,0.8078078078078079,56.15959872467986,True,0.13447959053667932,34
821.6216216216217,0.8216216216216217,39.5323468165526,True,0.13450320692197182,34
835.4354354354355,0.8354354354354354,13.164737583682417,True,0.13452633415998635,34
849.2492492492493,0.8492492492492493,-29.11749231973033,True,0.1345489666034653,34
863.063063063063,0.863063063063063,-91.41529782144741,True,0.134571098725971,34
876.8768768768768,0.8768768768768769,-152.89978162834115,True,0.1345927251232353,34
890.6906906906908,0.8906906906906907,-154.15790191978655,True,0.13461384051447903,34
904.5045045045046,0.9045045045045046,-93.59127215154268,True,0.1346344397437015,34
918.3183183183183,0.9183183183183183,-30.76996076941574,True,0.13465451778093973,34
932.1321321321321,0.9321321321321322,12.119154657777608,True,0.13467406972349627,34
945.9459459459459,0.9459459459459459,38.88130362554468,True,0.1346930907971367,34
959.7597597597597,0.9597597597597597,55.74183502077999,True,0.13471157635725528,34
973.5735735735736,0.9735735735735737,66.75347342026666,True,0.13472952189000909,34
987.3873873873874,0.9873873873873874,74.23510003847294,True,0.1347469230134202,34
