sqrt_s_GeV,sqrt_s_TeV,0340_xsec_pb,anomaly_zone,metabit_phi,predicted_byte
7383.183183183183,7.383183183183183,99.9927750920301,False,0.13469630669871735,34
7396.996996996997,7.396996996996997,99.99280570619344,False,0.13467737735264448,34
7410.810810810811,7.410810810810811,99.9928361261875,False,0.13465791632999163,34
7424.624624624625,7.424624624624625,99.99286635365084,False,0.13463792838279232,34
7438.438438438438,7.438438438438438,99.9928963902047,False,0.13461741839174543,34
7452.252252252252,7.4522522522522525,99.9929262374534,False,0.13459639136502377,34
7466.066066066066,7.466066066066066,99.99295589698436,False,0.1345748524370509,34
7479.87987987988,7.47987987987988,99.9929853703684,False,0.13455280686724752,34
7493.693693693694,7.493693693693694,99.99301465915998,False,0.13453026003874724,34
7507.507507507507,7.5075075075075075,99.99304376489737,False,0.13450721745708205,34
7521.321321321321,7.521321321321321,99.99307268910277,False,0.13448368474883798,34
7535.135135135135,7.5351351351351346,99.99310143328272,False,0.13445966766028122,34
7548.948948948949,7.548948948948949,99.99312999892804,False,0.13443517205595493,34
7562.762762762763,7.5627627627627625,99.99315838751424,False,0.1344102039172473,34
7576.576576576576,7.576576576576576,99.99318660050156,False,0.1343847693409309,34
7590.39039039039,7.59039039039039,99.99321463933525,False,0.13435887453767412,34
7604.204204204205,7.604204204204205,99.9932425054457,False,0.13433252583052438,34
7618.018018018019,7.618018018018018,99.9932702002487,False,0.13430572965336446,34
7631.8318318318325,7.631831831831833,99.99329772514547,False,0.13427849254934118,34
7645.645645645646,7.645645645645646,99.993325081523,False,0.1342508211692679,34
7659.45945945946,7.65945945945946,99.99335227075414,False,0.13422272227000037,34
7673.273273273274,7.673273273273274,99.99337929419781,False,0.13419420271278693,34
7687.087087087088,7.687087087087088,99.99340615319909,False,0.13416526946159296,34
7700.900900900901,7.700900900900901,99.99343284908949,False,0.1341359295814006,34
7714.714714714715,7.714714714714715,99.99345938318707,False,0.1341061902364835,34
7728.528528528529,7.728528528528529,99.9934857567966,False,0.13407605868865743,34
7742.342342342343,7.742342342342343,99.99351197120973,False,0.13404554229550708,34
7756.156156156157,7.756156156156156,99.99353802770511,False,0.13401464850858946,34
7769.96996996997,7.769969969969971,99.9935639275486,False,0.13398338487161446,34
7783.783783783784,7.783783783783784,99.9935896719934,False,0.13395175901860268,34
7797.597597597598,7.797597597597598,99.99361526228023,False,0.13391977867202137,34
7811.411411411412,7.811411411411412,99.99364069963741,False,0.13388745164089882,34
7825.225225225226,7.825225225225226,99.99366598528105,False,0.13385478581891747,34
7839.039039039039,7.839039039039039,99.99369112041525,False,0.13382178918248638,34
7852.852852852853,7.852852852852854,99.99371610623213,False,0.13378846978879363,34
7866.666666666667,7.866666666666667,99.99374094391204,False,0.13375483577383884,34
7880.480480480481,7.880480480480481,99.99376563462373,False,0.13372089535044648,34
7894.294294294295,7.894294294294294,99.9937901795244,False,0.1336866568062605,34
7908.108108108108,7.908108108108109,99.9938145797599,False,0.1336521285017206,34
7921.921921921922,7.921921921921922,99.99383883646486,False,0.13361731886802075,34
7935.735735735736,7.935735735735736,99.99386295076279,False,0.13358223640505057,34
7949.54954954955,7.94954954954955,99.99388692376623,False,0.13354688967931955,34
7963.3633633633635,7.963363363363364,99.99391075657688,False,0.13351128732186557,34
7977.177177177177,7.977177177177177,99.99393445028574,False,0.13347543802614706,34
7990.990990990991,7.9909909909909915,99.99395800597317,False,0.13343935054592046,34
8004.804804804805,8.004804804804804,99.99398142470913,False,0.13340303369310255,34
8018.618618618619,8.01861861861862,99.99400470755317,False,0.13336649633561884,34
8032.4324324324325,8.032432432432433,99.99402785555466,False,0.13332974739523806,33
8046.246246246246,8.046246246246247,99.99405086975281,False,0.13329279584539375,33
8060.06006006006,8.06006006006006,99.9940737511769,False,0.13325565070899306,33
8073.873873873874,8.073873873873874,99.99409650084628,False,0.13321832105621348,33
8087.687687687688,8.087687687687687,99.99411911977057,False,0.1331808160022881,33
8101.5015015015015,8.1015015015015,99.9941416089497,False,0.13314314470527985,33
8115.315315315315,8.115315315315316,99.9941639693741,False,0.13310531636384526,33
8129.129129129129,8.12912912912913,99.99418620202476,False,0.13306734021498826,33
8142.942942942943,8.142942942942943,99.99420830787331,False,0.1330292255318047,33
8156.756756756757,8.156756756756756,99.99423028788222,False,0.1329909816212181,33
8170.57057057057,8.17057057057057,99.99425214300477,False,0.13295261782170692,33
8184.384384384384,8.184384384384384,99.9942738741853,False,0.13291414350102443,33
8198.198198198199,8.198198198198199,99.9942954823592,False,0.1328755680539111,33
8212.012012012012,8.212012012012012,99.99431696845309,False,0.13283690089980071,33
8225.825825825825,8.225825825825824,99.99433833338483,False,0.1327981514805203,33
8239.639639639641,8.239639639639641,99.99435957806372,False,0.13275932925798448,33
8253.453453453454,8.253453453453455,99.9943807033905,False,0.1327204437118852,33
8267.267267267267,8.267267267267266,99.99440171025755,False,0.13268150433737688,33
8281.081081081082,8.281081081081082,99.99442259954886,False,0.13264252064275783,33
8294.894894894896,8.294894894894897,99.99444337214022,False,0.1326035021471486,33
8308.70870870871,8.308708708708709,99.99446402889932,False,0.13256445837816747,33
8322.522522522522,8.322522522522522,99.9944845706857,False,0.132525398869604,33
8336.336336336337,8.336336336336338,99.99450499835105,False,0.13248633315909117,33
8350.150150150152,8.350150150150151,99.99452531273914,False,0.13244727078577628,33
8363.963963963964,8.363963963963965,99.99454551468594,False,0.1324082212879918,33
8377.777777777777,8.377777777777778,99.99456560501974,False,0.13236919420092616,33
8391.591591591592,8.391591591591592,99.99458558456125,False,0.13233019905429558,33
8405.405405405405,8.405405405405405,99.99460545412357,False,0.13229124537001694,33
8419.21921921922,8.419219219219219,99.99462521451245,False,0.13225234265988273,33
8433.033033033033,8.433033033033032,99.9946448665262,False,0.13221350042323854,33
8446.846846846847,8.446846846846848,99.99466441095589,False,0.13217472814466338,33
8460.66066066066,8.46066066066066,99.99468384858535,False,0.13213603529165374,33
8474.474474474475,8.474474474474475,99.99470318019132,False,0.13209743131231183,33
8488.288288288288,8.488288288288288,99.99472240654347,False,0.13205892563303848,33
8502.102102102102,8.502102102102102,99.99474152840452,False,0.13202052765623143,33
8515.915915915915,8.515915915915915,99.99476054653024,False,0.1319822467579894,33
8529.72972972973,8.52972972972973,99.99477946166965,False,0.13194409228582255,33
