sqrt_s_GeV,0340_xsec_pb,anomaly_zone
200.0,100.0,False
213.81381381381382,100.0,False
227.62762762762762,100.0,False
241.44144144144144,100.0,False
255.25525525525526,100.0,False
269.0690690690691,100.0,False
282.8828828828829,100.0,False
296.6966966966967,100.0,False
310.5105105105105,100.0,False
324.3243243243243,100.0,False
338.1381381381382,100.0,False
351.95195195195197,100.0,False
365.76576576576576,100.0,False
379.57957957957956,100.0,False
393.3933933933934,100.0,False
407.2072072072072,100.0,False
421.02102102102106,100.0,False
434.83483483483485,100.0,False
448.64864864864865,100.0,False
462.4624624624625,100.0,False
476.2762762762763,100.0,False
490.0900900900901,100.0,False
503.90390390390394,100.0,False
517.7177177177177,100.0,False
531.5315315315315,100.0,False
545.3453453453453,100.0,False
559.1591591591591,100.0,False
572.9729729729729,100.0,False
586.7867867867868,100.0,False
600.6006006006006,100.0,False
614.4144144144144,100.0,False
628.2282282282283,100.0,False
642.0420420420421,100.0,False
655.8558558558559,100.0,False
669.6696696696697,100.0,False
683.4834834834835,100.0,False
697.2972972972973,100.0,False
711.1111111111111,100.0,False
724.924924924925,100.0,False
738.7387387387388,100.0,False
752.5525525525526,100.0,False
766.3663663663664,100.0,False
780.1801801801802,100.0,False
793.993993993994,100.0,False
807.8078078078079,100.0,False
821.6216216216217,100.0,False
835.4354354354355,100.0,False
849.2492492492493,100.0,False
863.063063063063,100.0,False
876.8768768768768,100.0,False
890.6906906906908,100.0,False
904.5045045045046,100.0,False
918.3183183183183,100.0,False
932.1321321321321,100.0,False
945.9459459459459,100.0,False
959.7597597597597,100.0,False
973.5735735735736,100.0,False
987.3873873873874,100.0,False
1001.2012012012012,100.0,False
1015.015015015015,100.0,False
1028.8288288288288,100.0,False
1042.6426426426426,100.0,False
1056.4564564564566,100.0,False
1070.2702702702704,100.0,False
1084.0840840840842,100.0,False
1097.897897897898,100.0,False
1111.7117117117118,100.0,False
1125.5255255255256,100.0,False
1139.3393393393394,100.0,False
1153.1531531531532,100.0,False
1166.966966966967,100.0,False
1180.7807807807808,100.0,False
1194.5945945945946,100.0,False
1208.4084084084084,100.0,False
1222.2222222222222,100.0,False
1236.036036036036,100.0,False
1249.84984984985,100.0,False
1263.6636636636638,100.0,False
1277.4774774774776,100.0,False
1291.2912912912914,100.0,False
